authority,test_mape,test_smape,test_mae,test_rmse,median_pct_error,ldwp_adjusted_mape,test_samples,n_features,n_baseline_features,n_spatial_features,baseline_importance_pct,spatial_importance_pct,baseline_mape,improvement_mape,improvement_pct
BANC,5.418202587076559,5.44927012329465,113.4323589021704,410.947060416804,4.244211561299912,,479,23,7,16,58.111510859702,41.888489140298,4.330784837701539,-1.0874177493750201,-25.10902273205845
CISO,1.7287123106037552,1.7227037753104797,416.1953496556418,554.7078459349201,1.2931413341331868,,479,23,7,16,93.67091171582321,6.32908828417679,1.8694502811289284,0.14073797052517323,7.52830775687621
IID,3.164720134134189,3.133124197051161,12.90258960986525,18.18695612930619,2.547602315943058,,479,23,7,16,98.54725288015665,1.4527471198433413,3.332902735515439,0.16818260138124996,5.046129897194262
LDWP,319.7927746658633,36.41496406164043,447.17326790730795,881.3487070614775,2.990216594981705,2.682692997765743,479,23,7,16,89.33494912958962,10.665050870410381,303.1274076354501,-16.665367030413222,-5.497809373428708
TIDC,1.8620406445402176,1.8551807162736227,5.125551233599489,6.722175253427972,1.4539421535928858,,479,23,7,16,91.79136450452339,8.208635495476607,1.9579754759699304,0.09593483142971282,4.899695251912652
