balancing_authority,naive_mape,moving_avg_mape,n_samples
BANC,5.778824025280301,10.241063182475884,2446
CISO,4.7510010387706085,9.140496361388644,2417
IID,6.044604257301543,19.040337733317216,2447
LDWP,32.762256404727,83.51552716816887,2423
TIDC,5.916760020255484,10.379115826072937,2447
AVERAGE,11.050689149266987,26.46330805428471,12180
